Hour,QeffEnergy_kVarh,DeltaEaccom_kWh,PeriodType
9,2.31962182447723,145.991919095641,Midday
10,1.75044099107627,145.510258896989,Midday
11,1.70945639011051,184.655833313805,Midday
12,1.55953194565282,204.379980992522,Midday
13,2.17767792326118,269.13053847272,Midday
14,3.75066281389308,301.918402013095,Midday
15,6.11482770783805,373.980612437534,Midday
16,6.90467541395304,380.792849218891,Midday
17,4.80453949894171,324.304075245988,Evening
18,4.68000041729163,276.812321095213,Evening
19,3.3870474017561,237.762170593464,Evening
20,4.64028811037977,240.678142474536,Evening
21,2.92240843633442,149.497231638382,Evening
22,0.423320708454332,14.2110689472933,Evening
