Time_h,LoadDemand_kW,LoadAfterPriceIDR_kW,LoadAfterDualIDR_kW,GridLossWithoutIDR_kW,GridLossWithPriceIDR_kW,GridLossWithDualIDR_kW,RawACLossWithoutIDR_kW,RawACLossWithPriceIDR_kW,RawACLossWithDualIDR_kW,VoltageDeviationWithoutIDR_kV,VoltageDeviationWithPriceIDR_kV,VoltageDeviationWithDualIDR_kV
1,490,516.46,525.28,24.5,24.6715742541373,25.4105396559892,2.23675703378661,2.61112827059354,2.92986187446524,0.129057181950603,0.124730386593492,0.123172462970128
2,480,505.92,514.56,24,24.1680727387467,24.8919572140302,1.41025934027046,1.63788081575278,1.82490297284454,0.10194629473034,0.100191037261132,0.0995456865552584
3,470,495.38,503.84,23.5,23.6645712233562,24.3733747720712,3.49880316769211,4.04897442056937,4.55699565520373,0.16092860140884,0.152798685020465,0.150169073113658
4,490,516.46,525.28,24.5,24.6715742541373,25.4105396559892,1.47666346776736,1.68780740390683,1.92405159110426,0.104439990786087,0.103689276297888,0.10185161699268
5,500,527,536,25,25.1750757695279,25.9291220979481,1.54370179138613,1.80757890528339,2.00837758744977,0.106859677520309,0.104996360270274,0.104360459600831
6,580,611.32,621.76,29,29.2030878926523,30.0777816336198,2.1762744770941,2.59045569968367,2.92619897522933,0.127295977200325,0.12430143235636,0.12316797494366
7,700,700,700,35,33.439379580018,33.8626594562755,3.32373776371469,3.52808399113975,3.85087009930485,0.157981794148189,0.144368764915331,0.140201470176972
8,880,880,880,44,42.0380771863084,42.5702004593178,4.60599750462185,4.64926614602695,4.89127098440911,0.183653894692164,0.170760032431939,0.166836036860652
9,1000,1020,1020,50,48.725953102312,49.3427323505729,6.16528165012754,6.63671760961816,7.0938057213617,0.215259292501359,0.203568256644458,0.198377104634067
10,1180,1067.9,912.528888888889,59,51.0141620764304,44.1437928692256,6.18930480769801,4.86572504731651,3.21627874257497,0.213447893589471,0.16888366823049,0.129725908260753
11,1300,1176.5,996.288888888889,65,56.2020429655589,48.195701949308,12.520260908759,10.7757742755612,7.92656849453398,0.298746027417025,0.241505143768868,0.193463490041897
12,1450,1312.25,1042.98888888889,72.5,62.6868940769695,50.4548250873195,12.1736986861851,10.185575041466,5.82356328696123,0.292388985803552,0.231833621338086,0.164153006189119
13,1400,1400,1400,70,66.8787591600361,67.7253189125511,16.5052619349758,18.1598538084254,20.2182672212097,0.340653757496644,0.307546937467406,0.297587664472436
14,1250,1250,1250,62.5,59.7131778214608,60.4690347433492,11.8521386496699,12.817779056542,14.1498776899311,0.294353627833885,0.267286264421403,0.259071574275706
15,1300,1300,1300,65,62.1017049343192,62.8877961330831,13.722353479524,14.5331336649439,15.8356636392908,0.321641530200268,0.294045447253148,0.285767545839729
16,1350,1350,1350,67.5,64.4902320471776,65.3065575228171,18.2257781827127,19.4847276445006,21.3382796661707,0.36907742508273,0.336696090933577,0.326965043468691
17,1500,1500,1500,75,71.6558133857529,72.562841692019,22.554852144486,24.2251506798145,26.6210453189093,0.409103835362746,0.37236445822847,0.36140041733868
18,1650,1322.49,1293.38888888889,82.5,63.1760644296829,62.5679821271072,13.2759920542281,7.28015519292711,7.21610996085269,0.31659024518711,0.213962509641936,0.202286066633903
19,1800,1427.4,1404,90,68.1876720178825,67.9188198237298,16.4819970357924,8.87418848184467,8.95255670201166,0.351353195632231,0.235042692951485,0.224122308667974
20,1620,1466.1,1308.52592592593,81,70.0363920032349,63.3002397419104,16.2204738201473,13.0648949083685,10.3816023043086,0.348774597673938,0.284447396311693,0.241788728297957
21,1200,1224,1224,60,58.4711437227744,59.2112788206875,9.58753969726976,10.5325265431651,11.3976556553719,0.267715442795007,0.251468682429348,0.244605228908291
22,1000,1020,990.48,50,48.725953102312,47.914695626074,6.25303191120974,6.75389267432407,6.70358484136492,0.215456578491677,0.203999738611369,0.192245523752349
23,700,737.8,750.4,35,35.245106077339,36.3007709371274,6.71013382193089,7.99767676107757,9.06221296936558,0.22042542979027,0.208631776292564,0.205270526853177
24,630,664.02,675.36,31.5,31.7205954696051,32.6706938434146,2.76959657264866,3.30123330086792,3.75815500747256,0.143505995841519,0.139409870262167,0.137831476547189
