Time_h,ExternalGridPower_kW,PVPower_kW,WTPower_kW,ESSPower_kW,TotalDemand_kW,ACLoss_AllDevices_kW,ACLoss_AllReactiveDevicesDisabled_kW,TotalLossReduction_kW,REC_LossContribution_kW,CB_LossContribution_kW,OLTC_LossContribution_kW,SVG_LossContribution_kW,INV_LossContribution_kW,REC_RawMarginalLoss_kW,CB_RawMarginalLoss_kW,OLTC_RawMarginalLoss_kW,SVG_RawMarginalLoss_kW,INV_RawMarginalLoss_kW,VoltageDeviation_AllDevices_kV,VoltageDeviation_AllReactiveDevicesDisabled_kV,TotalVoltageRegulation_kV,REC_VoltageContribution_kV,CB_VoltageContribution_kV,OLTC_VoltageContribution_kV,SVG_VoltageContribution_kV,INV_VoltageContribution_kV,REC_RawMarginalVoltage_kV,CB_RawMarginalVoltage_kV,OLTC_RawMarginalVoltage_kV,SVG_RawMarginalVoltage_kV,INV_RawMarginalVoltage_kV
1,514.554058311805,0,117.368046951353,-96.8421052631579,535.08,3.78311609408781,3.75675750309129,0,0,0,0,0,0,0.0573830337735042,0.132725278355606,-0.161342628552014,-0.0147062555750157,-0.0120166521824938,0.118389914459206,0.155068025982481,0.0366781115232752,0.0353224686259059,0,0.00112727195637455,7.74900762275939e-05,0.000150880864767084,0.0359153577072222,-0.00121668984513415,0.00114619326229139,7.87907503280449e-05,0.000153413406256395
2,406.802133239097,0,117.357866760903,0,524.16,2.30515039284966,2.47224319371513,0.167092800865466,0.0387020412738226,0.0343095231267384,0.0925707335374448,0.0015105029274599,0,0.200488922575802,0.177734277039851,0.479545936547982,0.00782488712498131,-0.0129081019686126,0.09645843361173,0.124956254217526,0.0284978206057963,0.0283212363025193,0,0,0,0.000176584303276982,0.0281277477385002,-0.00197307663151942,-0.00483556776529089,-6.48521426472037e-05,0.00017537789255026
3,635.884199360519,0,117.355800639481,-240,513.24,5.93482108425552,5.57672075030272,0,0,0,0,0,0,-0.277866007371472,-0.0096012622831898,-0.252583273748376,-0.0183403351741322,-0.0328773068498487,0.143213260812001,0.189119764849491,0.0459065040374902,0.0438021971858209,0.000154899488337643,0.00138953692174193,0.00019711505888418,0.000362755382705488,0.0453509742124677,0.000160376491419451,0.00143866876900844,0.00020408473836192,0.000375581844370032
4,417.726125243446,0,117.353874756554,0,535.08,2.44035096914103,2.58832250774589,0.147971538604859,0.147971538604859,0,0,0,0,0.242171198675273,-0.00819052515421781,-0.11517050230632,-0.00292922580276089,-0.0154722919856587,0.0986289928574573,0.128002889040546,0.0293738961830884,0.0278331728195694,8.32389221951109e-05,0.0012263056130804,3.29894342041172e-05,0.00019818939403933,0.0282720823646224,8.45515414106129e-05,0.00124564358946642,3.35096543619823e-05,0.000201314701288202
5,428.636133791196,0,117.363866208804,0,546,2.57175944487586,2.70750775699772,0.135748312121862,0.0353165945377447,0,0.0993464113581528,0.0010853062259641,0,0.170831070176245,-0.00193185170567745,0.480551819693271,0.00524977072328525,-0.0100486319103439,0.100889656631529,0.131048376479304,0.0301587198477753,0.0300049516457104,1.46913165812959e-05,0,0,0.000139076885483527,0.0297737829888257,1.45781295326358e-05,-0.00464078509699115,-4.43964103702399e-05,0.000138005388445286
6,516.04942084966,0,117.31057915034,0,633.36,3.79991014912526,3.77642552879103,0,0,0,0,0,0,0.0274696361990263,0.00550650157726817,-0.0209082624086485,-0.00309146604959842,-0.0256280710425516,0.118741150075521,0.1554805900047,0.0367394399291795,0.036299294967573,0,0.000156449432930934,2.41538292068485e-05,0.000259541699468729,0.0362845799906576,-4.96552105817977e-05,0.000156386011594623,2.41440377483776e-05,0.000259436486678241
7,590.218708862334,49.9963788226593,124.184912315006,0,764.4,5.85143247596695,5.62067868901426,0,0,0,0,0,0,-0.17520509777617,0.00611329283255913,0.152470572430198,0.00686393666012641,-0.00020803129205138,0.144948773224828,0.190703854882666,0.0457550816578384,0.0455963983554251,0,0,0,0.000158683302413248,0.0452425742201016,-3.17074658184313e-05,-0.000932974405221804,-3.44460372896649e-05,0.000157451933614577
8,605.752362855352,87.2342046644009,141.253432480247,0,834.24,6.78510566994512,6.62617864625408,0,0,0,0,0,0,-0.112489895225069,0.000960406125045665,0.197856198862331,-0.00785408107402574,0.0828147487764914,0.157744435294928,0.207135920359746,0.0493914850648178,0.0493272195914753,0,0,6.42654733425106e-05,0,0.0488692590086076,-6.31289807839774e-06,-0.00137808001016931,6.36688239900041e-05,-0.000468587002663445
9,846.974583991536,93.6149354019006,151.410480606564,0,1092,12.9584877584164,11.9816554204113,0,0,0,0,0,0,-0.873602605882907,-0.042194517066763,0.749889531105637,-0.00328095614631074,-0.000895904325117769,0.210510847499585,0.278348571768828,0.0678377242692434,0.067550369501021,6.67670228725906e-05,0,1.55262859018841e-05,0.000205061459447945,0.0669636769029546,6.61871338445419e-05,-0.00347380494189556,1.53914360545571e-05,0.000203280447126392
10,330.922275126607,114.521824808853,149.99590006454,240,835.44,2.68769337570637,3.10299811758167,0.415304741875308,0.406800609163425,6.74256694900906e-05,0,0,0.0084367070423932,0.41570458519503,6.89014699966073e-05,-0.0898559656860876,-0.000139939780145149,0.00862136811614533,0.107824846345125,0.138405651373223,0.0305808050280986,0.0295413137646552,0,0.000950110564220287,1.01590435085047e-06,8.83647948722299e-05,0.0302903615072709,-7.77670807389219e-07,0.000974201509498965,1.04166355935353e-06,9.06053671992785e-05
11,439.709241833048,120.692933963469,119.997824203484,240,920.4,4.40830819926318,4.36613187782346,0,0,0,0,0,0,-0.0313587523252368,-0.0838446701970925,-0.0623064995130429,0.13047147697692,0.00620287181065571,0.127412446513818,0.167309256007301,0.0398968094934827,0.038930764433405,0.000659492742285137,4.17287615891009e-06,0,0.000302379441633677,0.0395279020835799,0.000669608339863736,4.23688161835245e-06,-0.000741393078094177,0.000307017474096338
12,807.823543528625,124.778050528869,99.9984059425063,51.9999999999999,1084.6,13.3092224057123,11.470435935444,0,0,0,0,0,0,-1.7560542280341,0.0024176503754596,0.0490576809618126,-0.00642073019488798,0.00603135832916202,0.202432068345933,0.270262870102351,0.067830801756418,0.0675752371238808,0,0,2.3659241496549e-05,0.000231905391040719,0.0671578287496127,-9.98492898998671e-06,-0.000231393800035867,2.35130997151833e-05,0.000230472924705738
13,1106.83660664576,110.365836054295,109.997557299949,0,1327.2,23.0897044396702,19.6557020337447,0,0,0,0,0,0,-3.25044538610969,0.112829537514056,0.209908118683281,0.430284183998321,-0.0439334132863962,0.264021816014446,0.352889165323698,0.0888673493092513,0.0882768590988276,0,0,0,0.00059049021042371,0.0879236311446643,-7.51429622586897e-05,-0.000525802003312092,-0.000909496526133535,0.000588127443430064
14,1350.89061688028,104.113018699708,149.996364420009,-240,1365,29.1648447090122,28.4837527819382,0,0,0,0,0,0,-2.26028864423967,0.074477801674071,0.0272158903718811,0.0738389224735627,-0.093722510950677,0.328829336204543,0.426094664176156,0.0972653279716131,0.0939381881380278,0.000609245153625823,0,0.000616446464240374,0.00210144821571915,0.0431136737040189,0.000279617877242677,-9.67364553149941e-05,0.000282922975650801,0.000964476263319913
15,1256.73023037032,104.121976909161,168.221476931041,-109.473684210526,1419.6,27.0796968645528,25.0203623813505,0,0,0,0,0,0,-2.61545822421146,-0.00243083545771228,-0.357599730021988,0.00152160745314234,-0.126573109223806,0.304669280764781,0.400787805121271,0.0961185243564908,0.0952508682243668,5.92779344323104e-06,0,0,0.00086172833868075,0.073422276473133,4.56932411407873e-06,-0.000231923364443165,-1.21522148877062e-06,0.000664246505116539
