Run,Seed,Algorithm,Best_EMO_Profit_CNY,Avg_Grid_Loss_kW,Avg_Voltage_Deviation_kV,Renewable_Penetration_pct,Feasible,CPU_Time_s
1,1001,GA,33874.831018,79.158115,0.272792,31.067697,1,0.211916
2,1002,GA,33755.750598,79.394726,0.273260,31.018292,1,0.171717
3,1003,GA,33632.040778,79.535230,0.273704,30.984649,1,0.163453
4,1004,GA,33806.800541,79.205936,0.272982,31.058526,1,0.160830
5,1005,GA,33572.701473,79.607860,0.273706,30.963194,1,0.165764
6,1006,GA,33866.789320,79.167035,0.272661,31.069997,1,0.168112
7,1007,GA,34277.686545,78.580795,0.271594,31.240669,1,0.164088
8,1008,GA,33876.656155,79.049259,0.272573,31.108236,1,0.170493
9,1009,GA,33727.753166,79.204099,0.272792,31.066351,1,0.164446
10,1010,GA,33697.954523,79.538463,0.273712,30.969729,1,0.169972
11,1011,GA,33688.499653,79.320685,0.272989,31.037323,1,0.168231
12,1012,GA,33898.258193,79.438979,0.273312,30.999950,1,0.168542
13,1013,GA,33897.853642,79.333602,0.273060,31.024626,1,0.171949
14,1014,GA,33673.009766,79.592026,0.273577,30.965690,1,0.175548
15,1015,GA,33780.013089,79.236685,0.272882,31.055108,1,0.179164
16,1016,GA,34023.231260,78.914474,0.272320,31.149620,1,0.164191
17,1017,GA,33662.946941,79.648897,0.273626,30.950373,1,0.168316
18,1018,GA,33587.984839,79.860996,0.274152,30.889489,1,0.166593
19,1019,GA,33895.014015,78.868699,0.272171,31.165769,1,0.171426
20,1020,GA,33896.719520,79.189742,0.273014,31.070483,1,0.157583
1,1001,PSO,34660.739478,78.906750,0.272114,31.163059,1,0.152296
2,1002,PSO,34579.848410,78.934915,0.272567,31.158352,1,0.144067
3,1003,PSO,34679.924071,79.251107,0.272628,31.065180,1,0.143750
4,1004,PSO,34891.655598,78.271333,0.271095,31.337870,1,0.143982
5,1005,PSO,34614.860260,78.885514,0.272215,31.157941,1,0.160476
6,1006,PSO,34897.654039,79.072557,0.272631,31.321660,1,0.176210
7,1007,PSO,34761.826451,78.312938,0.271417,31.313931,1,0.173635
8,1008,PSO,34993.972436,78.873749,0.272364,31.391180,1,0.147055
9,1009,PSO,34572.609124,79.142496,0.272961,31.089300,1,0.145009
10,1010,PSO,34846.222198,78.448161,0.271427,31.290029,1,0.143994
11,1011,PSO,34727.599664,78.717965,0.271979,31.212854,1,0.147306
12,1012,PSO,34646.712393,78.633116,0.271807,31.230502,1,0.150076
13,1013,PSO,34728.610346,78.720175,0.271871,31.199849,1,0.143140
14,1014,PSO,35042.678444,78.960406,0.272275,31.362112,1,0.147405
15,1015,PSO,34519.018238,79.205286,0.273027,31.091118,1,0.147277
16,1016,PSO,34645.576423,78.681606,0.271929,31.228176,1,0.142152
17,1017,PSO,34945.046968,78.290944,0.270949,31.344576,1,0.144825
18,1018,PSO,34745.121713,78.789321,0.272482,31.184850,1,0.146362
19,1019,PSO,34801.846747,78.197676,0.271130,31.357562,1,0.139932
20,1020,PSO,34875.784928,78.432870,0.271271,31.293670,1,0.141317
1,1001,CPSO,34651.454446,78.940993,0.272279,31.140116,1,0.152075
2,1002,CPSO,34787.360729,78.440003,0.271418,31.284895,1,0.151234
3,1003,CPSO,35090.334932,78.633925,0.271896,31.450952,1,0.138840
4,1004,CPSO,35367.813259,78.055632,0.271005,31.631094,1,0.147673
5,1005,CPSO,35260.555969,78.463708,0.271527,31.504404,1,0.135735
6,1006,CPSO,35243.103138,78.726463,0.271855,31.435242,1,0.136180
7,1007,CPSO,35334.953503,78.393846,0.271382,31.536368,1,0.134263
8,1008,CPSO,35227.281511,78.548075,0.271708,31.500386,1,0.136493
9,1009,CPSO,35160.035199,78.556172,0.271645,31.483744,1,0.136771
10,1010,CPSO,35187.322056,78.468529,0.271714,31.489694,1,0.136443
11,1011,CPSO,35190.339278,78.495258,0.271797,31.510408,1,0.143519
12,1012,CPSO,34485.722987,78.785226,0.272226,31.203261,1,0.140523
13,1013,CPSO,34815.300536,78.355990,0.271292,31.309418,1,0.140158
14,1014,CPSO,35246.110773,78.564485,0.271760,31.497543,1,0.137751
15,1015,CPSO,35039.557996,78.717519,0.272123,31.425760,1,0.142318
16,1016,CPSO,35059.626226,78.827658,0.272081,31.402318,1,0.133136
17,1017,CPSO,35383.426431,78.300044,0.271114,31.570685,1,0.139889
18,1018,CPSO,35294.409463,78.422719,0.271497,31.531124,1,0.138232
19,1019,CPSO,34725.584042,78.521569,0.271592,31.272680,1,0.139295
20,1020,CPSO,35383.047754,78.178587,0.271080,31.600388,1,0.139156
